indice,number of tokens,number of words without punctuation,number of types,number of words in upper case,number of verbs,number of subjuntive and imperative verbs,number of nouns,number of adjectives,number of adverbs,number of modal verbs,number of singular first and second personal pronouns,number of plural first personal pronouns,number of pronouns,pausality,number of chracteres,average sentence length,average word length,percentage of news with speeling errors,document_score,document_magnitude,EVENT,LOCATION,ORGANIZATION,PERSON,classification
138,665,559,336,5,107,1,152,32,21,13,1,0,36,2.78947,2630,14.7105,4.70483,0.00357782,0.0,9.899999618530273,0.0067627824532489,0.005949009209871292,0.0061440583991093775,0.0075991362777300345,FAKE
139,278,259,156,0,36,2,73,8,13,6,0,0,13,1.72727,1252,23.5455,4.83398,0.003861,0.0,2.400000095367432,0.02083844365552068,,0.010185908138131104,0.015156771111137729,FAKE
140,183,157,112,8,21,0,47,6,6,4,0,0,6,2.16667,792,13.0833,5.04459,0.0,0.0,2.700000047683716,0.0188630607444793,,0.01920814476907253,0.027188394994785387,FAKE
141,328,292,189,6,41,1,79,23,17,3,0,0,18,2.4,1353,19.4667,4.63356,0.0,0.0,3.0999999046325684,0.012528109519431988,0.011484039365313949,0.009636470618156286,0.014091534928108253,FAKE
142,218,203,131,3,31,0,53,7,11,2,2,0,20,1.36364,918,18.4545,4.52217,0.00492611,0.0,2.200000047683716,0.016108327358961106,,0.01717780778805415,0.034745249298534224,FAKE
143,369,318,166,19,47,0,101,11,15,3,0,0,8,3.1875,1477,19.875,4.64465,0.0,0.0,3.5999999046325684,0.005521467227178316,0.010608876988823924,0.01212829410408934,0.010835937754664984,FAKE
144,293,268,171,2,42,1,71,13,10,9,0,0,13,1.47059,1420,15.7647,5.29851,0.0,0.20000000298023224,4.300000190734863,0.012270718135616995,0.006229559425264597,0.011867490597069263,0.017066757740645574,FAKE
145,859,732,398,8,128,4,185,33,51,9,10,0,63,3.43243,3581,19.7838,4.89208,0.00136612,0.0,9.100000381469727,0.0050058869611738,0.004343961761333047,0.004147722884746534,0.007914148052364137,FAKE
146,380,321,186,14,31,0,93,18,7,3,0,0,8,3.93333,1402,21.4,4.3676,0.0,0.10000000149011612,4.699999809265137,0.01553553485843752,0.005190538708120585,0.006725486316200759,0.017648157249722216,FAKE
147,360,317,212,6,44,2,96,14,18,4,0,0,12,2.86667,1620,21.1333,5.11041,0.00315457,0.10000000149011612,2.0999999046325684,0.015031573828309773,0.00552835189072149,0.012299693577612441,0.011692377808503806,FAKE
148,605,512,279,8,67,1,158,16,15,8,0,0,28,4.043480000000001,2335,22.2609,4.56055,0.00390625,0.0,3.7999999523162837,0.0056234570511151105,0.005044744058977813,0.007017057322497878,0.007837810335034619,FAKE
149,530,482,237,13,73,2,147,11,20,10,1,0,41,2.08696,2293,20.9565,4.75726,0.0,0.10000000149011612,5.400000095367432,0.005790208868513053,0.0031697965459898114,0.004063143189448643,0.011593503651537877,FAKE
150,296,251,136,4,50,6,73,4,13,14,1,0,19,2.36842,1229,13.2105,4.8964099999999995,0.00398406,0.0,3.5,0.010581309162080287,0.011893383382509152,0.007795013749273494,0.020762407350250416,FAKE
151,232,197,125,4,30,3,60,12,8,7,1,0,9,2.69231,967,15.1538,4.9086300000000005,0.0,0.0,2.200000047683716,0.01563144649844617,0.01562436402309686,0.008854029855380455,0.020794264872425368,FAKE
152,223,202,119,4,30,0,66,3,6,6,0,0,7,1.5,943,14.4286,4.66832,0.0,0.0,1.6000000238418581,0.00933606771286577,0.018295977264642715,0.008630951799984491,0.022442560451214802,FAKE
153,880,778,357,7,196,2,154,19,48,28,20,1,122,2.31818,3460,17.6818,4.4473,0.00642674,0.10000000149011612,13.0,0.0066760641268708495,0.00971299773082137,0.003949230071157217,0.007234428892843425,FAKE
154,155,144,95,0,19,1,42,10,4,1,0,0,12,1.5714299999999999,717,20.5714,4.97917,0.00694444,0.30000001192092896,2.5,0.016177915036678314,0.03900581691414117,0.02330755814909935,0.03600984429940581,FAKE
155,208,181,121,5,31,0,61,3,2,10,0,0,4,2.7,955,18.1,5.2762400000000005,0.00552486,0.0,1.399999976158142,0.014748407527804375,0.010060871640841166,0.018354271290202936,0.023940140660852198,FAKE
156,423,355,218,2,59,1,99,21,15,11,1,0,29,3.7777800000000004,1757,19.7222,4.9493,0.0084507,0.0,4.5,0.006971382419578731,0.00790605996735394,0.0072947507724165925,0.01294181221164763,FAKE
157,310,279,176,3,47,1,82,10,16,13,0,0,18,2.58333,1393,23.25,4.9928300000000005,0.0,0.10000000149011612,2.299999952316284,0.010390575315492848,0.009235325548797848,0.014701776922895359,0.011664594244211913,FAKE
158,256,231,154,4,34,1,74,13,9,5,0,0,10,1.78571,1173,16.5,5.07792,0.0,0.0,3.0999999046325684,0.010924325738516118,0.008736920659430325,0.009642166395982107,0.01568170120431618,FAKE
159,684,605,300,7,123,7,174,41,37,12,0,1,34,1.61224,3053,12.3469,5.04628,0.0,-0.10000000149011612,16.100000381469727,0.005572045622102451,0.005829251992205779,0.0054569728090427825,0.009129363709153274,FAKE
160,384,322,177,12,46,2,111,15,8,9,0,0,12,3.44444,1619,17.8889,5.02795,0.0,0.0,2.5999999046325684,0.007684768759645522,0.005066480021923781,0.007064158748835325,0.012584599631804009,FAKE
161,285,243,144,7,48,2,65,8,7,12,1,0,19,3.8181800000000004,1137,22.0909,4.67901,0.0,-0.10000000149011612,2.5,0.014307148887642791,0.011887075845152141,0.009994252717920713,0.019451072439551357,FAKE
162,295,251,148,0,43,0,63,7,21,8,8,0,25,2.5882400000000003,1116,14.7647,4.446219999999999,0.00796813,0.10000000149011612,3.7000000476837163,0.009182997254861727,0.008906706236302853,0.05360492691397667,0.021291035791172797,FAKE
163,282,262,134,3,32,2,81,5,7,9,0,0,10,2.0,1329,26.2,5.07252,0.0114504,0.0,1.8999999761581419,0.011748264374380762,0.01757760532200336,0.012608628137968479,0.01413795697472749,FAKE
164,546,487,236,6,85,6,134,23,31,24,4,0,28,4.21429,2404,34.7857,4.93635,0.0,0.0,6.5,0.005381264660338109,0.003286659285160048,0.003435698437637517,0.007606456615725781,FAKE
165,302,268,155,12,28,2,85,9,8,1,0,0,18,2.83333,1282,22.3333,4.783580000000001,0.0,0.10000000149011612,2.700000047683716,0.008028025539325816,0.00541449214021365,0.01206368754307429,0.011602068221882771,FAKE
166,416,366,197,3,46,1,123,8,10,6,0,0,9,3.33333,1784,24.4,4.87432,0.00273224,0.0,2.5999999046325684,0.007280169799923897,0.004346011113375426,0.009136112212824324,0.009004508777122413,FAKE
167,140,132,89,0,27,1,37,6,5,5,0,0,16,1.0,602,16.5,4.56061,0.0296296,0.10000000149011612,1.5,,0.016221433877944946,,,FAKE
168,256,224,134,0,33,2,68,13,7,7,0,0,11,2.4615400000000003,1106,17.2308,4.9375,0.0,0.0,3.2000000476837163,0.012441300010929504,0.014201510138809681,0.009911433327943088,0.01897659987832109,FAKE
169,627,575,302,11,90,3,154,31,29,16,1,0,50,1.40541,2531,15.5405,4.40174,0.0,0.10000000149011612,11.899999618530273,0.006141046344834779,0.005644155278181036,0.00361989115897034,0.012296905929877146,FAKE
170,275,229,153,0,40,0,72,12,7,6,1,0,15,2.70588,1030,13.4706,4.49782,0.00436681,0.10000000149011612,3.0,0.01411534659564495,0.008546387843255484,0.009429282841405696,0.013323113904334605,FAKE
171,412,366,207,0,76,4,83,10,22,13,2,0,37,2.19048,1601,17.4286,4.37432,0.0,0.0,3.7999999523162837,0.008001610753126442,0.01405061184513298,0.008929163217544556,0.014174273879877453,FAKE
172,275,258,176,7,30,1,78,22,11,4,0,0,12,1.2142899999999999,1260,18.4286,4.883719999999999,0.00387597,0.20000000298023224,3.0999999046325684,0.009393640048801898,0.013280178047716616,0.01939406905633708,0.010952933985543879,FAKE
173,428,376,220,1,67,2,104,11,26,11,2,1,16,2.4761900000000003,1703,17.9048,4.52926,0.0,0.0,6.5999999046325675,0.008895336650311947,0.006583174511503715,0.010044259800841766,0.013688080753080357,FAKE
174,333,285,166,0,50,0,82,12,9,5,1,0,11,2.82353,1320,16.7647,4.6315800000000005,0.00350877,0.0,4.300000190734863,0.010732769453898072,0.008709698822349309,0.005779574625194073,0.013248090293597092,FAKE
175,335,306,173,6,54,3,86,7,11,9,0,0,22,1.93333,1430,20.4,4.6732,0.0,0.10000000149011612,3.5999999046325684,0.015057112555950882,0.009899440842370192,0.0127215170301497,0.0155928917746577,FAKE
176,601,510,251,3,70,6,156,24,12,6,0,0,21,2.93548,2475,16.4516,4.85294,0.00392157,0.0,6.4000000953674325,0.0077596352535433,0.005462309170980007,0.004179681470203731,0.008769028320569883,FAKE
177,417,363,207,5,61,6,114,9,9,9,0,0,13,3.0,1689,20.1667,4.65289,0.00550964,0.0,4.599999904632568,0.010467401506113154,0.005086637035544429,0.007062941323965788,0.011683461360486322,FAKE
178,409,348,212,5,43,1,109,15,10,4,0,0,19,3.21053,1763,18.3158,5.06609,0.0,0.20000000298023224,5.599999904632568,0.006278352967152993,0.011438770964741708,0.011669991072267294,0.01080740033648908,FAKE
179,161,141,103,5,21,0,46,10,3,4,0,0,3,2.5,714,17.625,5.06383,0.0,0.0,1.8999999761581419,0.0191305810585618,0.03102609018484752,0.0255377051819648,0.0263532929122448,FAKE
180,628,547,280,24,80,1,153,22,37,11,1,0,37,3.0,2426,20.2593,4.4351,0.0,0.0,10.100000381469727,0.006164731509569619,0.006688474832723538,0.007844362801943835,0.009383107158577158,FAKE
181,350,302,192,0,58,1,69,17,18,5,7,0,46,4.0,1429,25.1667,4.73179,0.0,0.0,3.5999999046325684,0.0262527484446764,0.02175421640276909,0.01652835845015943,0.025101659250342183,FAKE
182,398,354,197,1,62,6,87,17,26,5,2,0,35,1.62963,1672,13.1111,4.72316,0.0,0.0,10.199999809265137,0.01142306998372078,0.008710823371075094,0.01867457277451952,0.011719357715919613,FAKE
183,408,366,203,4,55,3,92,28,24,7,0,1,23,2.47059,1661,21.5294,4.53825,0.00273224,0.0,5.400000095367432,0.008270463673397899,0.00916284970007837,0.006327414605766535,0.013127693684682959,FAKE
184,244,213,132,1,44,2,59,7,12,7,0,0,20,3.1,997,21.3,4.68075,0.00469484,-0.10000000149011612,2.0,0.009096756732712187,0.009282152168452741,0.025691051734611395,0.024908522742667367,FAKE
185,351,301,140,4,50,2,90,14,17,4,1,0,19,2.77778,1440,16.7222,4.78405,0.00332226,0.0,5.599999904632568,0.006653761225087302,0.009200793923810123,0.009731921833008528,0.015328479232266544,FAKE
186,308,271,157,1,54,0,77,6,4,7,0,0,16,2.6428599999999998,1277,19.3571,4.71218,0.0,0.20000000298023224,3.7999999523162837,0.011071194428950548,0.010152766608040441,0.023481490463018416,0.01507124397903681,FAKE
187,331,284,187,1,46,0,79,11,14,10,2,0,20,2.61111,1331,15.7778,4.68662,0.0,0.10000000149011612,5.199999809265137,0.009779416956007479,0.013721797400369095,0.0142811662517488,0.011874324409291148,FAKE
188,479,403,238,8,70,2,120,22,19,6,3,1,38,3.16667,1848,16.7917,4.58561,0.00744417,0.0,5.400000095367432,0.007390950992703437,0.008231309056282044,0.012309999696703421,0.013300066464580595,FAKE
189,297,268,156,3,41,5,77,13,12,6,0,0,8,2.63636,1189,24.3636,4.43657,0.0,0.0,1.2999999523162842,0.011892913941941832,,0.006138550051088844,0.019881554380325333,FAKE
190,266,239,140,1,41,0,64,21,10,2,0,1,18,1.42105,1120,12.5789,4.68619,0.008368200000000001,0.0,5.800000190734862,0.007904733531177044,0.013276495039463043,0.019131964538246397,0.019292756592711572,FAKE
191,377,339,196,3,56,4,96,17,19,7,0,0,10,2.375,1746,21.1875,5.150440000000001,0.0,0.10000000149011612,2.900000095367432,0.01154986416388835,0.009029408684000371,0.010065961904315784,0.006974144745618104,FAKE
192,236,205,122,1,35,2,58,16,9,5,0,0,7,2.58333,1034,17.0833,5.0439,0.0,0.10000000149011612,2.0,0.022551631913162198,0.011923990522821743,0.028168596460350918,0.01109623780939728,FAKE
193,264,226,143,1,34,0,70,12,8,6,0,0,9,3.8,1211,22.6,5.35841,0.00884956,0.20000000298023224,2.299999952316284,0.0076105070766061544,0.01175900874659419,0.01175900874659419,0.013801413588225842,FAKE
194,384,329,208,3,59,3,98,9,24,7,0,0,12,3.05556,1599,18.2778,4.860180000000001,0.0,-0.10000000149011612,3.7000000476837163,0.008789450209587813,0.006957616268967589,0.006262304121628403,0.011308351150629196,FAKE
195,385,345,142,13,38,1,102,17,14,7,0,0,21,1.4285700000000001,1564,12.3214,4.53333,0.0057971,0.0,3.7999999523162837,0.011994672333821654,0.0075615639375014735,0.007666368333792146,0.0062497168417192175,FAKE
196,393,352,219,10,50,2,112,21,4,11,0,0,22,2.15789,1737,18.5263,4.93466,0.014204499999999998,0.0,3.400000095367432,0.0065025044087734475,0.010673468059394509,0.009534200505268844,0.010926116035198387,FAKE
197,308,269,171,13,36,2,83,25,12,2,0,0,12,3.54545,1366,24.4545,5.078069999999999,0.0,0.10000000149011612,2.900000095367432,0.007848933862987906,0.006930744741111994,0.022069217450916768,0.007405739524127806,FAKE
198,169,148,104,0,24,0,37,4,6,7,1,0,16,2.1,730,14.8,4.93243,0.0,0.0,1.7000000476837158,0.02692342021812995,0.01595953013747931,0.05276555754244328,0.02649861232688029,FAKE
199,104,94,74,1,24,0,23,6,3,7,0,0,6,2.0,498,18.8,5.29787,0.0,0.0,0.5,0.03584124520421028,0.05522579699754715,0.025255906395614147,0.03733471594750881,FAKE
200,284,250,167,8,39,1,79,9,7,4,0,0,16,3.09091,1263,22.7273,5.052,0.024,0.0,2.5,0.00859455787576735,0.012376144528388977,0.015000906434248796,0.01380425007440723,FAKE
201,190,168,117,3,27,4,53,9,4,1,0,0,7,2.2,919,16.8,5.47024,0.0,0.10000000149011612,1.0,0.018876565713435413,0.02286436129361391,0.02671923634729215,0.013436084613204004,FAKE
202,191,160,107,1,36,1,45,6,6,5,0,5,7,2.58333,788,13.3333,4.925,0.0,0.10000000149011612,2.299999952316284,0.015121175441890957,0.013574159471318126,0.020048648118972782,0.02569831475349409,FAKE
203,181,156,105,0,36,1,32,7,6,7,1,0,22,4.16667,716,26.0,4.58974,0.00641026,-0.10000000149011612,1.0,0.018009740859270096,0.034325438551604755,,0.035995881306007504,FAKE
204,216,196,122,2,22,2,60,5,9,1,0,0,19,2.5,910,24.5,4.64286,0.0,0.0,0.8000000119209291,0.02000116982630321,0.009732807520776987,0.008495219051837921,0.023012466418246433,FAKE
205,211,189,133,0,40,2,37,9,10,7,3,0,32,2.44444,861,21.0,4.55556,0.0,0.0,2.5999999046325684,0.05068667978048325,0.01548768812790513,,0.032859602849930516,FAKE
206,200,183,119,1,27,1,46,8,9,3,0,0,15,2.83333,839,30.5,4.5847,0.0,-0.10000000149011612,1.0,0.02154241119407945,0.035151626914739616,0.018654689891263843,0.016278992251803476,FAKE
207,164,144,108,2,30,0,35,8,9,7,0,2,17,4.0,665,28.8,4.61806,0.00694444,0.0,0.699999988079071,0.018895338755100962,0.01741610374301672,0.0525865089148283,0.031355339412887887,FAKE
208,220,197,130,0,45,3,42,11,14,9,1,0,23,2.875,926,24.625,4.7005099999999995,0.0,-0.10000000149011612,1.7000000476837158,0.01458357181400061,0.013678031042218208,0.015078977216035128,0.026299859474723537,FAKE
209,145,137,94,3,18,3,40,9,5,1,0,0,8,2.0,707,34.25,5.16058,0.014598500000000002,0.10000000149011612,0.699999988079071,0.015872329163054626,0.014604212095340094,0.03663764614611864,0.02291353845170566,FAKE
210,111,97,75,1,17,0,25,7,6,2,0,0,5,2.33333,563,16.1667,5.804119999999999,0.010309299999999999,0.0,1.0,0.06566269074877103,0.02003658283501864,,0.07580354064702988,FAKE
211,131,120,81,0,25,1,25,6,9,2,2,0,6,2.2,603,24.0,5.025,0.0,0.0,0.8999999761581421,0.02525475062429905,0.03832786530256272,0.02767467545345426,0.04194428171548578,FAKE
212,146,134,96,0,25,1,35,9,10,4,0,0,8,3.0,739,33.5,5.5149300000000006,0.0,0.0,0.5,0.02127189445309341,0.013519556261599064,0.028658415190875523,0.03060762242724498,FAKE
213,158,141,101,1,36,2,38,4,9,8,0,0,5,4.25,735,35.25,5.21277,0.0070922,0.0,0.20000000298023224,0.02196782594546676,0.01686158683151007,0.015673243906348944,0.03793675005435944,FAKE
214,230,202,138,2,21,1,58,9,6,4,0,0,9,2.8,976,20.2,4.83168,0.0,0.10000000149011612,1.2999999523162842,0.011553307936992495,,0.01050719595514238,0.024837633195732317,FAKE
215,88,79,60,0,12,0,23,4,2,2,0,0,5,1.5,419,13.1667,5.3038,0.012658200000000001,0.20000000298023224,1.7000000476837158,0.04537870269268751,,0.09106026589870453,0.0528356238667454,FAKE
216,106,99,78,1,17,0,28,3,3,3,0,0,4,1.75,493,24.75,4.9798,0.0,0.10000000149011612,0.8999999761581421,0.04008382372558117,0.02122933231294155,0.024291099049150944,0.04443315809799565,FAKE
217,97,90,68,3,19,1,24,7,4,3,0,0,5,2.33333,454,30.0,5.04444,0.0,0.0,0.20000000298023224,0.03319883719086647,,,0.045685315504670136,FAKE
218,132,124,75,1,21,0,36,3,4,4,0,0,8,1.6,578,24.8,4.66129,0.0,0.10000000149011612,0.699999988079071,0.01918764412403107,0.015592348761856556,0.028940673917531967,0.036805474571883684,FAKE
219,158,141,90,1,24,0,40,4,4,2,0,0,12,3.4,687,28.2,4.87234,0.0,0.10000000149011612,0.5,0.017946474254131317,0.03273232405384382,0.025626464613846368,0.02484005902494703,FAKE
220,172,157,108,2,27,5,38,7,9,1,0,1,15,2.5,824,26.1667,5.24841,0.0,0.0,2.0999999046325684,0.03483175113797188,,0.0298522123032146,0.03028001599013805,FAKE
221,182,168,119,2,35,2,41,6,11,4,2,0,18,3.5,768,42.0,4.57143,0.011904799999999998,0.0,1.5,0.017914975993335244,0.015223504975438118,0.040646184235811234,0.02692630924284458,FAKE
222,99,90,63,0,14,0,26,2,7,3,0,0,9,1.8,448,18.0,4.97778,0.0,0.0,1.7999999523162842,0.0462695856889089,,0.07898788154125214,0.036196601763367656,FAKE
223,104,99,70,1,15,0,31,5,5,2,0,0,8,1.25,538,24.75,5.43434,0.0,0.20000000298023224,1.0,0.0364699965963761,0.02686549350619316,0.020909582264721397,0.034566087182611234,FAKE
224,171,155,96,2,31,5,34,6,16,4,2,0,25,3.2,706,31.0,4.55484,0.0,-0.20000000298023224,1.399999976158142,0.016951877623796463,0.017351394519209862,0.01846656048049529,0.04799869629953589,FAKE
225,285,252,154,0,49,2,60,13,11,8,0,0,22,3.3,1204,25.2,4.77778,0.0,0.0,1.6000000238418581,0.01770824964412234,0.026278671808540825,0.019504459574818608,0.017622980488730327,FAKE
226,114,104,78,2,16,1,31,7,2,1,0,0,10,2.5,485,26.0,4.66346,0.00961538,0.20000000298023224,0.6000000238418579,0.038668404798954725,0.05085471272468567,0.03884764822820822,0.04903467154751221,FAKE
227,144,132,91,3,21,1,35,8,5,2,0,0,11,2.4,598,26.4,4.5303,0.0,-0.10000000149011612,0.5,0.029310636887592924,0.010284188203513622,0.060394003987312324,0.02689784858375788,FAKE
228,164,154,100,1,26,3,47,8,5,7,0,0,11,1.66667,744,25.6667,4.831169999999999,0.0,0.0,1.100000023841858,0.01983393169939518,0.024411321501247585,0.012681154999881985,0.02524590492248535,FAKE
229,218,199,138,1,33,1,53,14,11,4,0,0,9,2.71429,1053,28.4286,5.29146,0.010050299999999998,0.0,0.6000000238418579,0.027553698668877285,0.014709128765389325,0.018333332613110542,0.013312537326580949,FAKE
230,101,84,64,1,18,1,26,7,3,2,0,0,5,2.83333,409,14.0,4.86905,0.0,0.10000000149011612,1.2000000476837158,0.03165232390165329,0.04380406253039837,,0.06317622853176934,FAKE
231,134,122,91,0,26,1,26,6,11,2,0,0,12,3.0,580,30.5,4.7541,0.00819672,-0.10000000149011612,0.6000000238418579,0.03018962126225233,0.02326647844165564,0.03473668172955513,0.046183160195748016,FAKE
232,107,102,86,4,11,0,34,9,2,3,0,0,2,0.833333,555,17.0,5.44118,0.0196078,0.0,0.5,0.03780893764148156,0.016571027692407373,0.02982108294963837,0.03047447486056222,FAKE
233,139,122,90,2,25,1,25,7,8,8,0,0,6,4.25,568,30.5,4.65574,0.0,0.0,0.5,0.034107577055692666,,0.06829615762191159,0.042755628004670136,FAKE
234,91,85,67,1,15,0,22,1,2,2,0,0,8,1.2,447,17.0,5.25882,0.0,0.4000000059604645,1.6000000238418581,0.03225093893706798,,0.02948744222521782,0.06122912373393774,FAKE
235,223,201,134,0,43,1,48,6,14,6,3,2,19,3.1428599999999998,912,28.7143,4.53731,0.00497512,0.4000000059604645,2.900000095367432,0.014921552501618862,0.02808664952005659,0.026375817134976387,0.02834177379392915,FAKE
236,468,409,245,0,71,3,109,33,22,18,0,0,29,3.93333,2233,27.2667,5.4596599999999995,0.0,-0.10000000149011612,3.7999999523162837,0.007316982636795094,0.008194522466510534,0.0115664662896759,0.00964817376807332,FAKE
237,193,168,107,2,39,6,37,8,7,4,1,0,21,2.77778,808,18.6667,4.80952,0.0,0.10000000149011612,1.5,0.022779174548174654,0.0212126299738884,0.045147509314119816,0.029451726935803887,FAKE
238,246,216,127,0,38,2,54,15,11,3,0,0,12,5.0,1152,36.0,5.33333,0.00462963,0.0,0.8999999761581421,0.01878597183773915,0.010476879775524141,,0.018638896840539845,FAKE
239,116,105,85,3,22,1,25,10,10,2,0,0,10,1.83333,551,17.5,5.2476199999999995,0.0,0.20000000298023224,1.6000000238418581,0.04787566279992461,0.033442852397759765,0.0350491083227098,0.03015791128079097,FAKE
240,103,95,69,1,19,2,30,2,5,4,0,0,11,2.0,491,23.75,5.168419999999999,0.010526299999999999,0.0,0.20000000298023224,0.0534294068813324,0.02818786725401878,0.02290080301463604,0.03879534527659416,FAKE
241,115,102,81,1,16,0,27,8,7,3,0,0,5,2.16667,566,17.0,5.54902,0.0,0.0,0.699999988079071,0.04090787097811699,0.06052231602370739,0.0306981923058629,0.05632579606026411,FAKE
242,87,80,64,0,13,0,24,6,3,1,0,0,2,1.4,415,16.0,5.1875,0.0,0.0,0.8000000119209291,0.05640103295445442,0.056088585406541824,0.027892550453543663,0.035038847476243966,FAKE
243,169,148,92,2,31,0,37,3,12,6,0,0,11,2.625,728,18.5,4.91892,0.0,-0.20000000298023224,1.6000000238418581,0.03033535291130344,,0.01726913871243596,0.034526763833127916,FAKE
244,109,92,68,6,12,1,29,3,6,0,0,0,6,3.4,438,18.4,4.76087,0.0217391,0.20000000298023224,0.8999999761581421,0.028364090248942375,0.07666049897670746,0.06210146378725768,0.02902724454179406,FAKE
245,176,157,101,0,33,0,34,7,12,9,0,0,15,3.16667,768,26.1667,4.891719999999999,0.0,0.0,1.100000023841858,0.03646579487249255,,0.016581573523581028,0.029370044978956383,FAKE
246,107,99,72,0,18,0,23,7,9,3,0,0,10,1.6,457,19.8,4.61616,0.0,0.0,0.4000000059604645,0.02982670068740845,,,0.0439695922864808,FAKE
